"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
402,23,"Inlet",,2023-7-11 00:00:00,"14:00",17.71,18.18,1.01,8.38,4.60,0.44,606.00,8.00,3.98,53.50,1.70,,2.09,1.81,1.01,1.66,15.20,4.50,43.00,,,,,,
401,23,"Outlet",,2023-7-11 00:00:00,"13:45",16.60,18.18,1.01,7.63,4.30,0.42,472.00,13.00,2.56,41.20,0.08,,2.46,0.12,0.14,,25.70,2.68,140.00,,,,,,
400,22,"Outlet",,2023-7-11 00:00:00,"12:35",15.24,20.75,1.02,7.65,3.70,0.37,313.00,8.00,2.16,27.00,0.06,,0.22,0.10,0.08,0.13,19.80,1.63,56.00,,,,,,
399,22,"Inlet",,2023-7-11 00:00:00,"12:15",15.07,20.75,1.02,8.38,3.80,0.38,359.00,9.00,2.52,31.00,0.03,,0.13,0.04,0.05,1.52,14.20,2.31,36.00,,,,,,
398,21,"Outlet",,2023-7-11 00:00:00,"11:35",17.18,19.73,1.01,7.77,3.90,0.37,477.00,59.00,3.15,40.80,0.82,,1.75,0.90,0.06,,26.20,2.17,170.00,,,,,,
397,21,"Inlet",,2023-7-11 00:00:00,"11:00",16.41,19.73,1.01,7.45,4.00,0.38,623.00,17.00,3.33,43.50,0.79,,1.67,0.84,0.03,,21.00,1.97,40.00,,,,,,
396,18,"Inlet",,2023-7-10 00:00:00,"18:40",26.29,22.41,1.01,8.82,,,250.00,7.00,1.82,22.60,,"Removed 0",0.02,0.01,0.01,,19.30,1.07,,,,,,,
395,18,"Outlet",,2023-7-10 00:00:00,"18:15",24.76,22.41,1.01,7.33,,,286.00,15.00,1.78,22.40,,"Removed 0",0.04,7.8e-03,0.01,,20.30,1.16,8.00,,,,,,
394,17,"Outlet",,2023-7-10 00:00:00,"16:20",20.29,24.65,1.02,8.15,,,796.00,13.00,3.54,68.20,0.06,,0.39,0.11,0.01,,24.40,2.32,22.00,,,,,,
393,17,"Inlet",,2023-7-10 00:00:00,"16:00",27.75,24.65,1.02,8.94,,,831.00,13.00,3.35,72.70,0.16,,1.01,0.23,7.0e-03,,39.40,5.35,270.00,,,,,,
392,27,"Outlet",,2023-7-10 00:00:00,"13:45",24.19,19.65,1.02,8.87,,,887.00,8.00,2.13,76.00,,"Removed 0",0.12,0.02,0.07,,14.20,1.29,61.00,,,,,,
391,27,"Inlet",,2023-7-10 00:00:00,"13:20",21.55,19.65,1.02,8.93,,,873.00,11.00,2.36,73.40,,"Removed 0",0.29,0.01,0.13,,13.80,1.46,96.00,,,,,,
390,40,"Outlet",,2022-8-30 00:00:00,"11:17",13.72,15.45,1.02,7.30,1.30,0.13,208.00,9.00,1.76,25.50,0.16,,0.52,0.19,0.04,0.02,10.90,0.85,20.00,,,,,,
389,40,"Inlet",,2022-8-30 00:00:00,"11:30",12.03,14.60,1.02,8.09,1.90,0.20,318.00,4.00,1.96,29.90,0.09,,0.20,0.10,0.06,0.95,6.10,1.33,9.00,,,214.67,4047.19,132.81,178725721.63
388,38,"Outlet",,2022-8-29 00:00:00,"11:20",14.86,14.98,1.02,8.72,4.80,0.45,455.00,27.00,3.65,47.20,5.0e-03,,0.25,0.02,0.01,1.5e-03,9.80,0.65,20.00,,,,,,
387,38,"Inlet",,2022-8-29 00:00:00,"11:05",13.95,14.68,1.02,7.76,13.40,1.39,592.00,7.00,3.63,50.70,0.02,,1.39,0.04,0.11,6.0e-03,13.60,1.12,790.00,,,9565.74,6663.83,3648.60,55667928.41
386,28,"Outlet",,2022-8-30 00:00:00,"12:45",13.22,13.62,1.02,8.69,1.20,0.13,475.00,7.00,3.04,43.50,0.16,,0.61,0.22,0.92,1.5e-03,14.30,1.86,15.00,,,,,,
385,28,"Inlet",,2022-8-30 00:00:00,"12:35",13.16,16.17,1.02,8.48,2.50,0.25,378.00,3.00,2.23,33.60,0.02,,0.09,0.03,0.10,0.06,3.90,0.35,8.00,,,1071.51,4451.57,551.47,127817989.25
384,27,"Outlet",,2022-7-28 00:00:00,"15:40",21.68,17.93,1.02,9.81,6.80,0.60,943.00,12.00,2.61,80.80,2.0e-03,"<0,004",0.13,0.02,0.02,0.01,15.10,1.56,55.00,,,,,,
383,27,"Inlet",,2022-7-28 00:00:00,"15:10",15.67,17.93,1.02,8.06,5.50,0.55,898.00,10.00,2.94,82.80,2.0e-03,"<0,004",0.11,0.01,7.0e-03,0.01,13.20,1.20,48.00,,,758.19,3242.34,1925.19,98376315.62
382,26,"Outlet",,2022-8-29 00:00:00,"13:36",16.63,15.01,1.02,8.60,0.20,0.02,736.00,199.00,5.08,66.60,6.0e-03,,0.11,0.03,0.03,1.5e-03,19.50,1.60,9.00,,,,,,
381,26,"Inlet",,2022-8-29 00:00:00,"13:50",13.88,15.77,1.02,8.61,0.20,0.02,596.00,3.00,3.63,52.80,0.02,,0.07,0.02,0.03,0.13,5.10,0.36,6.00,,,612.15,15098.66,64.88,185075267.17
380,24,"Outlet",,2022-8-11 00:00:00,"14:00",16.87,25.87,1.02,8.18,4.00,0.39,1544.00,16.00,4.45,135.00,0.06,,0.38,0.13,0.02,1.5e-03,21.50,1.69,65.00,,,,,,
379,24,"Inlet",,2022-8-11 00:00:00,"13:45",15.09,25.87,1.02,8.55,12.30,1.24,3122.00,5.00,5.13,266.00,0.14,,0.48,0.22,5.12,2.45,16.10,9.94,36.00,,,11306.79,10005.13,6888.55,134141559.06
378,23,"Outlet",,2022-8-4 00:00:00,"15:10",23.56,25.70,1.01,8.34,17.70,1.25,475.00,20.00,4.16,42.60,0.32,,0.85,0.39,0.05,3.0e-03,24.50,2.15,52.00,,,,,,
377,23,"Inlet",,2022-8-4 00:00:00,"15:30",26.25,25.70,1.01,8.97,4.90,0.40,463.00,55.00,3.68,35.00,0.28,,1.02,0.38,0.02,5.0e-03,24.90,2.18,160.00,,,2046.59,5348.42,1477.82,101046681.94
376,21,"Outlet",,2022-8-4 00:00:00,"11:25",17.91,21.30,1.01,7.89,0.60,0.06,791.00,15.00,5.41,68.60,0.31,,0.79,0.36,0.01,0.12,19.90,1.61,72.00,,,,,,
